(0.02, 0.16, 0.99)
(0.02, 0.17, 0.99)
(0.02, 0.16, 0.99)
(0.02, 0.16, 0.99)
(0.02, 0.16, 0.99)
(0.02, 0.16, 0.99)
(0.02, 0.16, 0.99)
(0.02, 0.16, 0.99)
(0.03, 0.16, 0.99)
(0.03, 0.16, 0.99)
(0.02, 0.16, 0.99)
(0.02, 0.16, 0.99)
(0.02, 0.16, 0.99)
(0.02, 0.17, 0.99)
(0.02, 0.17, 0.99)
(0.03, 0.17, 0.99)
(0.04, 0.12, 0.99)
(0.04, 0.12, 0.99)
(0.04, 0.13, 0.99)
(0.04, 0.13, 0.99)
(0.04, 0.14, 0.99)
(0.04, 0.14, 0.99)
(0.04, 0.14, 0.99)
(0.04, 0.14, 0.99)
(0.04, 0.14, 0.99)
(0.04, 0.14, 0.99)
(0.04, 0.14, 0.99)
(0.04, 0.14, 0.99)
(0.03, 0.11, 0.99)
(0.05, 0.09, 0.99)
(0.04, 0.10, 0.99)
(0.04, 0.10, 0.99)
(0.04, 0.09, 0.99)
(0.04, 0.09, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.11, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.11, 0.99)
(0.03, 0.11, 0.99)
(0.03, 0.11, 0.99)
(0.03, 0.11, 0.99)
(0.03, 0.12, 0.99)
(0.03, 0.12, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.03, 0.11, 0.99)
(0.03, 0.11, 0.99)
(0.03, 0.12, 0.99)
(0.03, 0.12, 0.99)
(0.03, 0.12, 0.99)
(0.03, 0.12, 0.99)
(0.03, 0.13, 0.99)
(0.03, 0.13, 0.99)
(0.03, 0.13, 0.99)
(0.03, 0.13, 0.99)
(0.03, 0.13, 0.99)
(0.03, 0.14, 0.99)
(0.03, 0.14, 0.99)
(0.03, 0.14, 0.99)
(0.03, 0.15, 0.99)
(0.03, 0.15, 0.99)
(0.03, 0.15, 0.99)
(0.03, 0.15, 0.99)
(0.03, 0.15, 0.99)
(0.03, 0.16, 0.99)
(0.03, 0.15, 0.99)
(0.03, 0.17, 0.98)
(0.03, 0.18, 0.98)
(0.04, 0.17, 0.98)
(0.03, 0.13, 0.99)
(0.04, 0.09, 1.00)
(0.03, 0.06, 1.00)
(0.04, 0.04, 1.00)
(0.04, 0.05, 1.00)
(0.03, 0.05, 1.00)
(0.04, 0.05, 1.00)
(0.03, 0.06, 1.00)
(0.03, 0.06, 1.00)
(0.03, 0.06, 1.00)
(0.03, 0.07, 1.00)
(0.03, 0.07, 1.00)
(0.03, 0.08, 1.00)
(0.03, 0.08, 1.00)
(0.03, 0.08, 1.00)
(0.03, 0.07, 1.00)
(0.03, 0.06, 1.00)
(0.03, 0.06, 1.00)
(0.03, 0.07, 1.00)
(0.03, 0.07, 1.00)
(0.03, 0.07, 1.00)
(0.03, 0.11, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.12, 0.99)
(0.03, 0.11, 0.99)
(0.02, 0.10, 0.99)
(0.03, 0.09, 1.00)
(0.01, 0.07, 1.00)
(0.01, 0.07, 1.00)
(0.02, 0.02, 1.00)
(-0.02, 0.07, 1.00)
(-0.01, -0.02, 1.00)
(0.02, -0.06, 1.00)
(-0.05, -0.06, 1.00)
(-0.01, -0.02, 1.00)
(0.00, -0.03, 1.00)
(-0.04, 0.06, 1.00)
(0.01, 0.01, 1.00)
(-0.03, 0.06, 1.00)
(0.01, 0.08, 1.00)
(0.02, 0.08, 1.00)
(0.02, 0.09, 1.00)
(0.04, 0.05, 1.00)
(0.02, 0.11, 0.99)
(0.03, 0.09, 1.00)
(0.03, 0.11, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.17, 0.99)
(0.02, 0.15, 0.99)
(0.03, 0.17, 0.99)
(0.03, 0.18, 0.98)
(0.03, 0.16, 0.99)
(0.02, 0.15, 0.99)
(0.03, 0.14, 0.99)
(0.03, 0.15, 0.99)
(0.03, 0.16, 0.99)
(0.00, 0.12, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.00, 0.12, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.14, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.14, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.16, 0.99)
(0.01, 0.16, 0.99)
(0.01, 0.17, 0.99)
(0.01, 0.17, 0.98)
(0.01, 0.17, 0.98)
(0.01, 0.17, 0.98)
(0.01, 0.18, 0.98)
(0.01, 0.19, 0.98)
(0.01, 0.20, 0.98)
(0.01, 0.22, 0.98)
(0.00, 0.21, 0.98)
(0.01, 0.22, 0.98)
(0.01, 0.20, 0.98)
(0.00, 0.20, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.04, 0.18, 0.98)
(0.01, 0.21, 0.98)
(0.01, 0.21, 0.98)
(0.01, 0.21, 0.98)
(0.01, 0.21, 0.98)
(0.01, 0.21, 0.98)
(0.01, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.20, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.01, 0.21, 0.98)
(0.01, 0.22, 0.98)
(0.00, 0.22, 0.98)
(0.00, 0.22, 0.98)
(0.01, 0.22, 0.98)
(0.01, 0.22, 0.98)
(0.01, 0.22, 0.98)
(0.02, 0.22, 0.98)
(0.02, 0.22, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.03, 0.23, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.23, 0.97)
(0.05, 0.24, 0.97)
(0.05, 0.23, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.24, 0.97)
(0.05, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.05, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.03, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.97)
(0.04, 0.27, 0.96)
(0.03, 0.26, 0.96)
(0.03, 0.26, 0.97)
(0.03, 0.25, 0.97)
(0.03, 0.25, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.22, 0.98)
(0.02, 0.22, 0.97)
(0.01, 0.22, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.22, 0.97)
(0.02, 0.22, 0.97)
(0.02, 0.22, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.24, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.22, 0.97)
(0.02, 0.22, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.22, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.20, 0.98)
(0.03, 0.23, 0.97)
(0.04, 0.24, 0.97)
(0.03, 0.24, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.97)
(0.03, 0.23, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.02, 0.22, 0.98)
(0.02, 0.22, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.01, 0.22, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.03, 0.19, 0.98)
(0.02, 0.22, 0.97)
(0.02, 0.22, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.23, 0.97)
(0.02, 0.22, 0.97)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.22, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.22, 0.97)
(0.02, 0.22, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.18, 0.98)
(0.02, 0.18, 0.98)
(0.02, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.02, 0.22, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.01, 0.22, 0.98)
(0.01, 0.20, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.21, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.18, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.02, 0.17, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.17, 0.98)
(0.03, 0.17, 0.98)
(0.02, 0.15, 0.99)
(0.03, 0.17, 0.98)
(0.02, 0.17, 0.99)
(0.02, 0.17, 0.99)
(0.03, 0.17, 0.99)
(0.03, 0.17, 0.99)
(0.03, 0.16, 0.99)
(0.03, 0.15, 0.99)
(0.03, 0.15, 0.99)
(0.03, 0.15, 0.99)
(0.02, 0.19, 0.98)
(0.03, 0.17, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.17, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.03, 0.17, 0.98)
(0.03, 0.16, 0.99)
(0.03, 0.16, 0.99)
(0.03, 0.16, 0.99)
(0.03, 0.16, 0.99)
(0.03, 0.16, 0.99)
(0.03, 0.16, 0.99)
(0.04, 0.17, 0.99)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.04, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.17, 0.98)
(0.04, 0.17, 0.98)
(0.04, 0.17, 0.98)
(0.04, 0.17, 0.98)
(0.04, 0.17, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.03, 0.16, 0.99)
(0.02, 0.14, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.11, 0.99)
(0.01, 0.10, 1.00)
(0.02, 0.06, 1.00)
(0.02, 0.07, 1.00)
(0.01, 0.05, 1.00)
(0.01, 0.05, 1.00)
(0.01, 0.05, 1.00)
(0.01, 0.06, 1.00)
(0.01, 0.06, 1.00)
(0.01, 0.07, 1.00)
(0.01, 0.07, 1.00)
(0.01, 0.07, 1.00)
(0.01, 0.07, 1.00)
(0.01, 0.07, 1.00)
(0.01, 0.07, 1.00)
(0.01, 0.07, 1.00)
(0.02, 0.08, 1.00)
(0.02, 0.08, 1.00)
(0.02, 0.10, 0.99)
(0.02, 0.10, 1.00)
(0.02, 0.10, 0.99)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.01, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.10, 1.00)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.01, 0.10, 0.99)
(0.01, 0.10, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.03, 0.12, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.15, 0.99)
(0.02, 0.15, 0.99)
(0.02, 0.15, 0.99)
(0.03, 0.15, 0.99)
(0.02, 0.17, 0.99)
(0.03, 0.14, 0.99)
(0.00, 0.12, 0.99)
(0.00, 0.10, 0.99)
(0.00, 0.09, 1.00)
(0.01, 0.06, 1.00)
(0.01, 0.06, 1.00)
(0.02, 0.05, 1.00)
(0.01, 0.07, 1.00)
(0.01, 0.07, 1.00)
(0.01, 0.08, 1.00)
(0.00, 0.07, 1.00)
(0.01, 0.09, 1.00)
(0.01, 0.09, 1.00)
(0.01, 0.10, 0.99)
(0.03, 0.14, 0.99)
(0.03, 0.15, 0.99)
(0.01, 0.11, 0.99)
(0.02, 0.14, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.12, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.14, 0.99)
(0.01, 0.14, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.15, 0.99)
(0.01, 0.17, 0.99)
(0.02, 0.21, 0.98)
(0.01, 0.20, 0.98)
(0.01, 0.19, 0.98)
(0.00, 0.16, 0.99)
(0.02, 0.15, 0.99)
(0.05, 0.12, 0.99)
(0.06, 0.09, 0.99)
(0.05, 0.09, 0.99)
(0.05, 0.09, 0.99)
(0.05, 0.09, 0.99)
(0.05, 0.09, 0.99)
(0.04, 0.11, 0.99)
(0.05, 0.11, 0.99)
(0.04, 0.11, 0.99)
(0.04, 0.11, 0.99)
(0.04, 0.10, 0.99)
(0.04, 0.10, 0.99)
(0.04, 0.10, 0.99)
(0.04, 0.10, 0.99)
(0.04, 0.12, 0.99)
(0.04, 0.14, 0.99)
(0.04, 0.14, 0.99)
(0.05, 0.14, 0.99)
(0.05, 0.15, 0.99)
(0.04, 0.16, 0.99)
(0.04, 0.16, 0.99)
(0.04, 0.15, 0.99)
(0.03, 0.16, 0.99)
(0.03, 0.16, 0.99)
(0.04, 0.16, 0.99)
(0.04, 0.16, 0.99)
(0.04, 0.16, 0.99)
(0.04, 0.16, 0.99)
(0.04, 0.16, 0.99)
(0.04, 0.17, 0.98)
(0.04, 0.17, 0.98)
(0.04, 0.18, 0.98)
(0.04, 0.18, 0.98)
(0.02, 0.15, 0.99)
(0.02, 0.14, 0.99)
(0.03, 0.09, 1.00)
(0.02, 0.12, 0.99)
(0.02, 0.12, 0.99)
(0.03, 0.11, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.03, 0.09, 1.00)
(0.03, 0.09, 1.00)
(0.03, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.03, 0.11, 0.99)
(0.02, 0.12, 0.99)
(0.03, 0.13, 0.99)
(0.02, 0.12, 0.99)
(0.03, 0.13, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.14, 0.99)
(0.02, 0.14, 0.99)
(0.02, 0.14, 0.99)
(0.03, 0.13, 0.99)
(0.03, 0.11, 0.99)
(0.02, 0.08, 1.00)
(0.01, 0.02, 1.00)
(0.01, -0.01, 1.00)
(0.01, -0.03, 1.00)
(0.03, -0.12, 0.99)
(0.01, -0.04, 1.00)
(0.02, -0.05, 1.00)
(0.02, -0.07, 1.00)
(0.02, -0.06, 1.00)
(0.02, -0.04, 1.00)
(0.02, -0.02, 1.00)
(0.02, 0.00, 1.00)
(0.02, 0.02, 1.00)
(0.03, 0.03, 1.00)
(0.04, 0.07, 1.00)
(0.04, 0.06, 1.00)
(0.03, 0.06, 1.00)
(0.04, 0.07, 1.00)
(0.04, 0.07, 1.00)
(0.04, 0.07, 1.00)
(0.04, 0.08, 1.00)
(0.04, 0.07, 1.00)
(0.02, 0.06, 1.00)
(0.02, 0.06, 1.00)
(0.02, 0.05, 1.00)
(0.02, 0.05, 1.00)
(0.03, 0.05, 1.00)
(0.03, 0.06, 1.00)
(0.03, 0.08, 1.00)
(0.04, 0.09, 1.00)
(0.04, 0.09, 1.00)
(0.04, 0.09, 1.00)
(0.04, 0.09, 1.00)
(0.04, 0.08, 1.00)
(0.03, 0.08, 1.00)
(0.03, 0.08, 1.00)
(0.03, 0.08, 1.00)
(0.03, 0.08, 1.00)
(0.03, 0.08, 1.00)
(0.02, 0.08, 1.00)
(0.02, 0.07, 1.00)
(0.02, 0.06, 1.00)
(0.02, 0.06, 1.00)
(0.02, 0.07, 1.00)
(0.03, 0.08, 1.00)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.10, 0.99)
(0.03, 0.05, 1.00)
(0.03, 0.06, 1.00)
(0.03, 0.05, 1.00)
(0.04, 0.05, 1.00)
(0.04, 0.01, 1.00)
(0.04, 0.03, 1.00)
(0.04, 0.01, 1.00)
(0.01, 0.04, 1.00)
(0.03, 0.10, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.08, 1.00)
(0.02, 0.10, 1.00)
(0.01, 0.11, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.12, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.01, 0.09, 1.00)
(0.01, 0.10, 0.99)
(0.02, 0.16, 0.99)
(0.02, 0.21, 0.98)
(0.02, 0.22, 0.97)
(0.02, 0.21, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.20, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.18, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.18, 0.98)
(0.03, 0.18, 0.98)
(0.02, 0.18, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.18, 0.98)
(0.02, 0.18, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.19, 0.98)
(0.02, 0.18, 0.98)
(0.02, 0.15, 0.99)
(0.02, 0.15, 0.99)
(0.02, 0.15, 0.99)
(0.02, 0.15, 0.99)
(0.02, 0.15, 0.99)
(0.02, 0.15, 0.99)
(0.02, 0.15, 0.99)
(0.02, 0.14, 0.99)
(0.02, 0.14, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.12, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.09, 1.00)
(0.02, 0.11, 0.99)
(0.01, 0.08, 1.00)
(0.01, 0.08, 1.00)
(-0.01, 0.07, 1.00)
(0.00, 0.08, 1.00)
(0.00, 0.09, 1.00)
(0.01, 0.10, 1.00)
(0.01, 0.12, 0.99)
(0.01, 0.14, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.16, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.13, 0.99)
(0.02, 0.12, 0.99)
(0.01, 0.15, 0.99)
(0.00, 0.12, 0.99)
(0.01, 0.13, 0.99)
(0.02, 0.13, 0.99)
(-0.01, 0.08, 1.00)
(0.00, 0.09, 1.00)
(0.00, 0.14, 0.99)
(0.00, 0.14, 0.99)
(0.00, 0.15, 0.99)
(0.01, 0.16, 0.99)
(0.01, 0.14, 0.99)
(0.01, 0.14, 0.99)
(0.01, 0.14, 0.99)
(0.01, 0.14, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.11, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.10, 0.99)
(0.01, 0.08, 1.00)
(0.02, 0.08, 1.00)
(0.02, 0.06, 1.00)
(0.03, 0.05, 1.00)
(0.01, 0.04, 1.00)
(-0.01, 0.03, 1.00)
(0.02, 0.05, 1.00)
(0.02, 0.08, 1.00)
(0.01, 0.08, 1.00)
(0.02, 0.09, 1.00)
(0.03, 0.09, 1.00)
(0.01, 0.11, 0.99)
(0.01, 0.12, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.12, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.13, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.12, 0.99)
(0.01, 0.12, 0.99)
(0.02, 0.11, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 1.00)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 0.99)
(0.02, 0.10, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.09, 1.00)
(0.02, 0.08, 1.00)
(0.02, 0.08, 1.00)
(0.02, 0.08, 1.00)
(0.02, 0.07, 1.00)
(0.02, 0.07, 1.00)
(0.02, 0.08, 1.00)
(0.02, 0.06, 1.00)
(0.02, 0.06, 1.00)
(0.03, 0.07, 1.00)
(0.03, 0.03, 1.00)
(0.01, -0.01, 1.00)
