(0.17, 0.24, -0.96)
(0.17, 0.24, -0.96)
(0.16, 0.22, -0.96)
(0.16, 0.22, -0.96)
(0.16, 0.22, -0.96)
(0.17, 0.22, -0.96)
(0.16, 0.21, -0.96)
(0.17, 0.21, -0.96)
(0.17, 0.20, -0.97)
(0.17, 0.20, -0.97)
(0.17, 0.20, -0.97)
(0.17, 0.19, -0.97)
(0.17, 0.19, -0.97)
(0.17, 0.19, -0.97)
(0.17, 0.19, -0.97)
(0.17, 0.19, -0.97)
(0.17, 0.19, -0.97)
(0.17, 0.18, -0.97)
(0.17, 0.18, -0.97)
(0.17, 0.18, -0.97)
(0.16, 0.18, -0.97)
(0.16, 0.18, -0.97)
(0.16, 0.18, -0.97)
(0.16, 0.17, -0.97)
(0.16, 0.17, -0.97)
(0.16, 0.16, -0.97)
(0.15, 0.17, -0.97)
(0.14, 0.19, -0.97)
(0.13, 0.21, -0.97)
(0.12, 0.21, -0.97)
(0.12, 0.20, -0.97)
(0.12, 0.20, -0.97)
(0.12, 0.20, -0.97)
(0.12, 0.20, -0.97)
(0.12, 0.20, -0.97)
(0.12, 0.19, -0.97)
(0.12, 0.19, -0.97)
(0.12, 0.19, -0.97)
(0.12, 0.19, -0.97)
(0.12, 0.19, -0.97)
(0.12, 0.19, -0.97)
(0.12, 0.18, -0.98)
(0.12, 0.18, -0.98)
(0.13, 0.17, -0.98)
(0.13, 0.17, -0.98)
(0.13, 0.17, -0.98)
(0.13, 0.17, -0.98)
(0.09, 0.15, -0.99)
(0.03, 0.14, -0.99)
(0.00, 0.13, -0.99)
(0.00, 0.11, -0.99)
(0.00, 0.10, -0.99)
(0.00, 0.10, -1.00)
(0.00, 0.10, -0.99)
(0.00, 0.09, -1.00)
(0.00, 0.09, -1.00)
(0.00, 0.09, -1.00)
(0.00, 0.09, -1.00)
(0.00, 0.08, -1.00)
(0.00, 0.08, -1.00)
(0.00, 0.08, -1.00)
(0.00, 0.08, -1.00)
(0.00, 0.07, -1.00)
(0.00, 0.06, -1.00)
(0.00, 0.06, -1.00)
(0.01, 0.07, -1.00)
(0.01, 0.07, -1.00)
(0.01, 0.07, -1.00)
(0.01, 0.06, -1.00)
(0.02, 0.05, -1.00)
(0.05, 0.07, -1.00)
(0.11, 0.10, -0.99)
(0.12, 0.11, -0.99)
(0.12, 0.11, -0.99)
(0.12, 0.12, -0.99)
(0.12, 0.12, -0.99)
(0.12, 0.10, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.12, -0.98)
(0.13, 0.12, -0.98)
(0.13, 0.12, -0.98)
(0.13, 0.11, -0.99)
(0.13, 0.11, -0.99)
(0.13, 0.11, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.09, -0.99)
(0.13, 0.09, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.07, -0.99)
(0.13, 0.07, -0.99)
(0.13, 0.07, -0.99)
(0.12, 0.06, -0.99)
(0.12, 0.06, -0.99)
(0.12, 0.06, -0.99)
(0.12, 0.05, -0.99)
(0.12, 0.06, -0.99)
(0.13, 0.06, -0.99)
(0.13, 0.06, -0.99)
(0.13, 0.06, -0.99)
(0.13, 0.05, -0.99)
(0.12, 0.04, -0.99)
(0.12, 0.06, -0.99)
(0.11, 0.09, -0.99)
(0.11, 0.14, -0.98)
(0.09, 0.17, -0.98)
(0.09, 0.18, -0.98)
(0.09, 0.20, -0.98)
(0.09, 0.18, -0.98)
(0.09, 0.18, -0.98)
(0.09, 0.20, -0.98)
(0.09, 0.20, -0.98)
(0.09, 0.20, -0.98)
(0.09, 0.19, -0.98)
(0.09, 0.19, -0.98)
(0.09, 0.19, -0.98)
(0.09, 0.19, -0.98)
(0.09, 0.19, -0.98)
(0.09, 0.19, -0.98)
(0.09, 0.18, -0.98)
(0.09, 0.18, -0.98)
(0.09, 0.18, -0.98)
(0.09, 0.17, -0.98)
(0.09, 0.17, -0.98)
(0.09, 0.17, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.17, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.16, -0.98)
(0.09, 0.16, -0.98)
(0.09, 0.15, -0.98)
(0.09, 0.14, -0.99)
(0.09, 0.14, -0.99)
(0.09, 0.14, -0.99)
(0.09, 0.14, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.13, -0.99)
(0.10, 0.13, -0.99)
(0.10, 0.13, -0.99)
(0.10, 0.13, -0.99)
(0.10, 0.13, -0.99)
(0.10, 0.12, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.10, -0.99)
(0.09, 0.10, -0.99)
(0.09, 0.10, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.08, -0.99)
(0.09, 0.08, -0.99)
(0.08, 0.06, -0.99)
(0.09, 0.06, -0.99)
(0.08, 0.04, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.03, -1.00)
(0.09, 0.04, -1.00)
(0.09, 0.05, -0.99)
(0.08, 0.05, -1.00)
(0.07, 0.05, -1.00)
(0.07, 0.07, -0.99)
(0.06, 0.09, -0.99)
(0.05, 0.09, -0.99)
(0.06, 0.08, -0.99)
(0.05, 0.09, -0.99)
(0.06, 0.09, -0.99)
(0.05, 0.10, -0.99)
(0.06, 0.08, -1.00)
(0.06, 0.08, -1.00)
(0.06, 0.08, -1.00)
(0.06, 0.08, -1.00)
(0.06, 0.08, -1.00)
(0.06, 0.08, -1.00)
(0.06, 0.07, -1.00)
(0.06, 0.07, -1.00)
(0.06, 0.07, -1.00)
(0.06, 0.06, -1.00)
(0.06, 0.06, -1.00)
(0.06, 0.06, -1.00)
(0.06, 0.06, -1.00)
(0.06, 0.06, -1.00)
(0.06, 0.06, -1.00)
(0.06, 0.03, -1.00)
(0.06, 0.03, -1.00)
(0.07, 0.03, -1.00)
(0.06, 0.02, -1.00)
(0.06, 0.02, -1.00)
(0.06, 0.02, -1.00)
(0.06, 0.02, -1.00)
(0.06, 0.01, -1.00)
(0.06, 0.01, -1.00)
(0.06, 0.02, -1.00)
(0.06, 0.01, -1.00)
(0.07, 0.04, -1.00)
(0.10, 0.12, -0.99)
(0.10, 0.13, -0.99)
(0.09, 0.12, -0.99)
(0.10, 0.08, -0.99)
(0.09, 0.08, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.10, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.12, -0.99)
(0.09, 0.12, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.10, -0.99)
(0.09, 0.10, -0.99)
(0.08, 0.09, -0.99)
(0.08, 0.09, -0.99)
(0.08, 0.08, -0.99)
(0.08, 0.06, -1.00)
(0.08, 0.06, -1.00)
(0.08, 0.06, -1.00)
(0.08, 0.04, -1.00)
(0.08, 0.04, -1.00)
(0.08, 0.04, -1.00)
(0.09, 0.04, -1.00)
(0.09, 0.04, -1.00)
(0.09, 0.04, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.13, -0.98)
(0.13, 0.14, -0.98)
(0.13, 0.15, -0.98)
(0.13, 0.15, -0.98)
(0.13, 0.14, -0.98)
(0.13, 0.14, -0.98)
(0.13, 0.14, -0.98)
(0.14, 0.14, -0.98)
(0.13, 0.13, -0.98)
(0.13, 0.13, -0.98)
(0.13, 0.13, -0.98)
(0.13, 0.12, -0.98)
(0.13, 0.12, -0.98)
(0.13, 0.12, -0.98)
(0.13, 0.11, -0.99)
(0.13, 0.11, -0.99)
(0.13, 0.11, -0.99)
(0.13, 0.11, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.09, -0.99)
(0.12, 0.08, -0.99)
(0.12, 0.07, -0.99)
(0.12, 0.07, -0.99)
(0.12, 0.08, -0.99)
(0.12, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.07, -0.99)
(0.13, 0.07, -0.99)
(0.13, 0.07, -0.99)
(0.13, 0.06, -0.99)
(0.13, 0.06, -0.99)
(0.13, 0.06, -0.99)
(0.11, 0.02, -0.99)
(0.08, 0.01, -1.00)
(0.04, -0.01, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.07, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.09, -1.00)
(0.04, -0.08, -1.00)
(0.04, -0.07, -1.00)
(0.04, -0.01, -1.00)
(0.04, 0.06, -1.00)
(0.04, 0.08, -1.00)
(0.06, 0.12, -0.99)
(0.05, 0.12, -0.99)
(0.06, 0.14, -0.99)
(0.06, 0.14, -0.99)
(0.05, 0.14, -0.99)
(0.05, 0.14, -0.99)
(0.05, 0.14, -0.99)
(0.05, 0.14, -0.99)
(0.05, 0.13, -0.99)
(0.05, 0.11, -0.99)
(0.05, 0.11, -0.99)
(0.05, 0.10, -0.99)
(0.05, 0.10, -0.99)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.08, -1.00)
(0.05, 0.07, -1.00)
(0.05, 0.07, -1.00)
(0.06, 0.06, -1.00)
(0.08, 0.09, -0.99)
(0.10, 0.12, -0.99)
(0.11, 0.15, -0.98)
(0.11, 0.16, -0.98)
(0.11, 0.15, -0.98)
(0.11, 0.14, -0.98)
(0.10, 0.14, -0.99)
(0.10, 0.14, -0.98)
(0.11, 0.14, -0.98)
(0.11, 0.14, -0.98)
(0.11, 0.14, -0.98)
(0.11, 0.13, -0.99)
(0.11, 0.13, -0.99)
(0.11, 0.13, -0.99)
(0.11, 0.13, -0.99)
(0.11, 0.13, -0.99)
(0.11, 0.12, -0.99)
(0.11, 0.12, -0.99)
(0.11, 0.12, -0.99)
(0.11, 0.12, -0.99)
(0.11, 0.11, -0.99)
(0.10, 0.11, -0.99)
(0.11, 0.11, -0.99)
(0.11, 0.10, -0.99)
(0.10, 0.10, -0.99)
(0.10, 0.09, -0.99)
(0.10, 0.09, -0.99)
(0.10, 0.09, -0.99)
(0.11, 0.09, -0.99)
(0.11, 0.09, -0.99)
(0.10, 0.08, -0.99)
(0.11, 0.08, -0.99)
(0.11, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.11, 0.05, -0.99)
(0.09, 0.03, -1.00)
(0.06, 0.03, -1.00)
(0.03, 0.04, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.03, -1.00)
(0.01, 0.03, -1.00)
(0.02, 0.03, -1.00)
(0.01, 0.03, -1.00)
(0.01, 0.03, -1.00)
(0.00, 0.02, -1.00)
(0.01, 0.02, -1.00)
(0.01, 0.02, -1.00)
(0.01, 0.01, -1.00)
(0.01, 0.01, -1.00)
(0.01, 0.01, -1.00)
(0.01, 0.01, -1.00)
(0.01, 0.01, -1.00)
(0.01, 0.01, -1.00)
(0.01, 0.01, -1.00)
(0.01, 0.01, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.01, -0.03, -1.00)
(0.01, -0.03, -1.00)
(0.00, -0.03, -1.00)
(0.01, -0.03, -1.00)
(0.03, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.05, -0.01, -1.00)
(0.07, 0.01, -1.00)
(0.07, 0.05, -1.00)
(0.09, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.11, 0.08, -0.99)
(0.10, 0.10, -0.99)
(0.10, 0.09, -0.99)
(0.11, 0.10, -0.99)
(0.11, 0.09, -0.99)
(0.11, 0.10, -0.99)
(0.11, 0.09, -0.99)
(0.11, 0.09, -0.99)
(0.10, 0.09, -0.99)
(0.11, 0.08, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.06, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.06, -0.99)
(0.10, 0.06, -0.99)
(0.10, 0.05, -0.99)
(0.10, 0.05, -0.99)
(0.10, 0.03, -0.99)
(0.10, 0.03, -0.99)
(0.10, 0.03, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.11, -0.99)
(0.10, 0.14, -0.99)
(0.10, 0.17, -0.98)
(0.09, 0.18, -0.98)
(0.09, 0.18, -0.98)
(0.10, 0.18, -0.98)
(0.10, 0.18, -0.98)
(0.10, 0.19, -0.98)
(0.10, 0.17, -0.98)
(0.10, 0.17, -0.98)
(0.10, 0.17, -0.98)
(0.10, 0.17, -0.98)
(0.09, 0.17, -0.98)
(0.10, 0.17, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.16, -0.98)
(0.10, 0.15, -0.98)
(0.09, 0.15, -0.98)
(0.09, 0.14, -0.99)
(0.09, 0.14, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.12, -0.99)
(0.09, 0.12, -0.99)
(0.10, 0.12, -0.99)
(0.10, 0.12, -0.99)
(0.10, 0.12, -0.99)
(0.10, 0.12, -0.99)
(0.10, 0.12, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.10, -0.99)
(0.09, 0.10, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.08, -0.99)
(0.09, 0.08, -0.99)
(0.09, 0.08, -0.99)
(0.09, 0.08, -0.99)
(0.08, 0.07, -0.99)
(0.08, 0.07, -0.99)
(0.08, 0.06, -1.00)
(0.09, 0.05, -1.00)
(0.09, 0.05, -1.00)
(0.09, 0.05, -1.00)
(0.09, 0.05, -1.00)
(0.09, 0.04, -1.00)
(0.09, 0.04, -1.00)
(0.07, 0.04, -1.00)
(0.07, 0.06, -1.00)
(0.05, 0.08, -1.00)
(0.06, 0.09, -0.99)
(0.06, 0.09, -0.99)
(0.06, 0.09, -0.99)
(0.07, 0.09, -0.99)
(0.06, 0.09, -0.99)
(0.06, 0.08, -0.99)
(0.06, 0.07, -1.00)
(0.06, 0.07, -1.00)
(0.06, 0.07, -1.00)
(0.06, 0.06, -1.00)
(0.06, 0.06, -1.00)
(0.07, 0.06, -1.00)
(0.06, 0.05, -1.00)
(0.07, 0.04, -1.00)
(0.07, 0.05, -1.00)
(0.06, 0.04, -1.00)
(0.06, 0.03, -1.00)
(0.07, 0.02, -1.00)
(0.08, 0.00, -1.00)
(0.08, -0.02, -1.00)
(0.08, -0.02, -1.00)
(0.08, -0.05, -1.00)
(0.08, -0.05, -1.00)
(0.07, -0.05, -1.00)
(0.08, -0.05, -1.00)
(0.08, -0.05, -1.00)
(0.08, -0.05, -1.00)
(0.08, -0.05, -1.00)
(0.08, -0.05, -1.00)
(0.08, -0.04, -1.00)
(0.08, -0.05, -1.00)
(0.08, -0.05, -1.00)
(0.09, -0.05, -0.99)
(0.08, -0.07, -0.99)
(0.08, -0.07, -0.99)
(0.08, -0.07, -0.99)
(0.07, -0.08, -0.99)
(0.07, -0.08, -0.99)
(0.07, -0.08, -0.99)
(0.09, -0.06, -0.99)
(0.08, -0.02, -1.00)
(0.09, 0.00, -1.00)
(0.09, 0.05, -0.99)
(0.10, 0.10, -0.99)
(0.10, 0.11, -0.99)
(0.11, 0.12, -0.99)
(0.12, 0.13, -0.98)
(0.11, 0.12, -0.99)
(0.11, 0.11, -0.99)
(0.12, 0.12, -0.99)
(0.12, 0.11, -0.99)
(0.12, 0.11, -0.99)
(0.11, 0.10, -0.99)
(0.12, 0.10, -0.99)
(0.12, 0.10, -0.99)
(0.12, 0.10, -0.99)
(0.12, 0.09, -0.99)
(0.12, 0.09, -0.99)
(0.12, 0.09, -0.99)
(0.12, 0.09, -0.99)
(0.12, 0.08, -0.99)
(0.11, 0.07, -0.99)
(0.11, 0.07, -0.99)
(0.11, 0.06, -0.99)
(0.11, 0.06, -0.99)
(0.11, 0.06, -0.99)
(0.11, 0.06, -0.99)
(0.11, 0.06, -0.99)
(0.11, 0.06, -0.99)
(0.11, 0.04, -0.99)
(0.11, 0.05, -0.99)
(0.11, 0.05, -0.99)
(0.11, 0.04, -0.99)
(0.11, 0.04, -0.99)
(0.11, 0.04, -0.99)
(0.11, 0.03, -0.99)
(0.10, 0.03, -0.99)
(0.10, 0.02, -0.99)
(0.10, 0.02, -0.99)
(0.10, 0.00, -1.00)
(0.09, -0.01, -1.00)
(0.05, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.09, -1.00)
(0.03, -0.09, -1.00)
(0.02, -0.09, -1.00)
(0.04, -0.09, -1.00)
(0.03, -0.09, -1.00)
(0.02, -0.10, -1.00)
(0.02, -0.10, -0.99)
(0.02, -0.11, -0.99)
(0.01, -0.11, -0.99)
(0.01, -0.11, -0.99)
(0.02, -0.13, -0.99)
(0.01, -0.13, -0.99)
(0.02, -0.13, -0.99)
(0.01, -0.13, -0.99)
(0.02, -0.14, -0.99)
(0.02, -0.13, -0.99)
(0.03, -0.12, -0.99)
(0.05, -0.10, -0.99)
(0.07, -0.08, -0.99)
(0.07, -0.03, -1.00)
(0.07, -0.03, -1.00)
(0.09, 0.00, -1.00)
(0.09, 0.03, -1.00)
(0.11, 0.04, -0.99)
(0.10, 0.04, -0.99)
(0.10, 0.05, -0.99)
(0.11, 0.10, -0.99)
(0.11, 0.11, -0.99)
(0.12, 0.11, -0.99)
(0.12, 0.10, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.07, -0.99)
(0.10, 0.06, -0.99)
(0.10, 0.06, -0.99)
(0.10, 0.06, -0.99)
(0.10, 0.06, -0.99)
(0.10, 0.06, -0.99)
(0.09, 0.05, -0.99)
(0.09, 0.04, -1.00)
(0.09, 0.05, -0.99)
(0.09, 0.04, -0.99)
(0.09, 0.03, -1.00)
(0.09, 0.02, -1.00)
(0.08, 0.02, -1.00)
(0.09, 0.02, -1.00)
(0.09, 0.02, -1.00)
(0.09, 0.01, -1.00)
(0.09, 0.01, -1.00)
(0.09, 0.00, -1.00)
(0.09, 0.00, -1.00)
(0.09, 0.00, -1.00)
(0.09, 0.01, -1.00)
(0.09, 0.04, -1.00)
(0.08, 0.10, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.12, -0.99)
(0.08, 0.13, -0.99)
(0.09, 0.14, -0.99)
(0.09, 0.14, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.14, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.13, -0.99)
(0.09, 0.14, -0.99)
(0.08, 0.10, -0.99)
(0.08, 0.11, -0.99)
(0.08, 0.11, -0.99)
(0.08, 0.11, -0.99)
(0.08, 0.10, -0.99)
(0.08, 0.10, -0.99)
(0.09, 0.10, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.10, -0.99)
(0.09, 0.09, -0.99)
(0.08, 0.09, -0.99)
(0.08, 0.09, -0.99)
(0.08, 0.08, -0.99)
(0.08, 0.07, -0.99)
(0.07, 0.07, -1.00)
(0.07, 0.06, -1.00)
(0.07, 0.06, -1.00)
(0.08, 0.06, -1.00)
(0.08, 0.05, -1.00)
(0.10, 0.11, -0.99)
(0.11, 0.13, -0.99)
(0.12, 0.16, -0.98)
(0.13, 0.18, -0.98)
(0.13, 0.18, -0.97)
(0.13, 0.18, -0.98)
(0.14, 0.17, -0.98)
(0.13, 0.17, -0.98)
(0.13, 0.17, -0.98)
(0.13, 0.17, -0.98)
(0.13, 0.16, -0.98)
(0.13, 0.16, -0.98)
(0.13, 0.16, -0.98)
(0.13, 0.16, -0.98)
(0.13, 0.16, -0.98)
(0.13, 0.16, -0.98)
(0.13, 0.16, -0.98)
(0.13, 0.15, -0.98)
(0.13, 0.15, -0.98)
(0.13, 0.13, -0.98)
(0.13, 0.15, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.16, -0.98)
(0.13, 0.16, -0.98)
(0.14, 0.17, -0.98)
(0.13, 0.16, -0.98)
(0.13, 0.15, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.15, -0.98)
(0.14, 0.15, -0.98)
(0.13, 0.13, -0.98)
(0.13, 0.13, -0.98)
(0.13, 0.14, -0.98)
(0.14, 0.15, -0.98)
(0.14, 0.14, -0.98)
(0.14, 0.14, -0.98)
(0.14, 0.14, -0.98)
(0.14, 0.14, -0.98)
(0.14, 0.14, -0.98)
(0.14, 0.14, -0.98)
(0.14, 0.14, -0.98)
(0.14, 0.13, -0.98)
(0.14, 0.13, -0.98)
(0.14, 0.12, -0.98)
(0.13, 0.11, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.10, -0.99)
(0.13, 0.09, -0.99)
(0.13, 0.09, -0.99)
(0.13, 0.09, -0.99)
(0.14, 0.09, -0.99)
(0.14, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.07, -0.99)
(0.13, 0.06, -0.99)
(0.13, 0.06, -0.99)
(0.13, 0.06, -0.99)
(0.13, 0.06, -0.99)
(0.12, 0.06, -0.99)
(0.12, 0.07, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.08, -0.99)
(0.13, 0.09, -0.99)
(0.14, 0.09, -0.99)
(0.14, 0.09, -0.99)
(0.14, 0.09, -0.99)
(0.14, 0.08, -0.99)
(0.14, 0.08, -0.99)
(0.14, 0.08, -0.99)
(0.14, 0.08, -0.99)
(0.14, 0.07, -0.99)
(0.14, 0.07, -0.99)
(0.15, 0.07, -0.99)
(0.14, 0.12, -0.98)
(0.14, 0.14, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.18, -0.97)
(0.14, 0.21, -0.97)
(0.14, 0.21, -0.97)
(0.13, 0.19, -0.97)
(0.14, 0.19, -0.97)
(0.14, 0.19, -0.97)
(0.14, 0.19, -0.97)
(0.14, 0.18, -0.97)
(0.14, 0.18, -0.97)
(0.14, 0.18, -0.97)
(0.14, 0.17, -0.97)
(0.14, 0.17, -0.98)
(0.14, 0.17, -0.98)
(0.14, 0.17, -0.98)
(0.14, 0.17, -0.98)
(0.14, 0.17, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.16, -0.98)
(0.14, 0.15, -0.98)
(0.14, 0.15, -0.98)
(0.14, 0.14, -0.98)
(0.13, 0.11, -0.99)
(0.11, 0.09, -0.99)
(0.09, 0.07, -0.99)
(0.09, 0.05, -1.00)
(0.08, 0.04, -1.00)
(0.09, 0.04, -1.00)
(0.08, 0.04, -1.00)
(0.08, 0.04, -1.00)
(0.08, 0.04, -1.00)
(0.08, 0.04, -1.00)
(0.08, 0.04, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.02, -1.00)
(0.08, 0.02, -1.00)
(0.08, 0.02, -1.00)
(0.08, 0.01, -1.00)
(0.08, 0.01, -1.00)
(0.08, 0.01, -1.00)
(0.08, 0.01, -1.00)
(0.08, 0.01, -1.00)
(0.08, 0.01, -1.00)
(0.08, -0.01, -1.00)
(0.07, -0.02, -1.00)
(0.06, -0.01, -1.00)
(0.04, 0.03, -1.00)
(0.04, 0.06, -1.00)
(0.04, 0.10, -0.99)
(0.04, 0.12, -0.99)
(0.04, 0.11, -0.99)
(0.04, 0.11, -0.99)
(0.03, 0.11, -0.99)
(0.04, 0.11, -0.99)
(0.04, 0.11, -0.99)
(0.04, 0.10, -0.99)
(0.04, 0.09, -0.99)
(0.04, 0.09, -0.99)
(0.04, 0.08, -1.00)
(0.04, 0.08, -1.00)
(0.04, 0.09, -1.00)
(0.04, 0.09, -1.00)
(0.04, 0.08, -1.00)
(0.04, 0.08, -1.00)
(0.04, 0.06, -1.00)
(0.04, 0.07, -1.00)
(0.04, 0.07, -1.00)
(0.04, 0.06, -1.00)
(0.04, 0.04, -1.00)
(0.04, 0.03, -1.00)
(0.04, 0.04, -1.00)
(0.06, 0.04, -1.00)
(0.07, 0.06, -1.00)
(0.09, 0.07, -0.99)
(0.08, 0.07, -0.99)
(0.08, 0.09, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.11, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.09, -0.99)
(0.09, 0.09, -0.99)
(0.08, 0.08, -0.99)
(0.08, 0.08, -0.99)
(0.08, 0.07, -0.99)
(0.08, 0.07, -0.99)
(0.08, 0.06, -1.00)
(0.07, 0.06, -1.00)
(0.07, 0.05, -1.00)
(0.07, 0.05, -1.00)
(0.07, 0.05, -1.00)
(0.07, 0.05, -1.00)
(0.08, 0.04, -1.00)
(0.08, 0.05, -1.00)
(0.08, 0.02, -1.00)
(0.08, 0.03, -1.00)
(0.08, 0.02, -1.00)
(0.09, 0.03, -1.00)
(0.09, 0.03, -1.00)
(0.09, 0.03, -1.00)
(0.09, 0.02, -1.00)
(0.09, 0.01, -1.00)
(0.09, 0.01, -1.00)
(0.09, 0.01, -1.00)
(0.09, 0.01, -1.00)
(0.09, 0.00, -1.00)
(0.09, -0.01, -1.00)
(0.09, 0.00, -1.00)
(0.08, -0.03, -1.00)
(0.07, -0.06, -1.00)
(0.07, -0.05, -1.00)
(0.09, -0.01, -1.00)
(0.09, 0.00, -1.00)
(0.08, 0.00, -1.00)
(0.08, 0.01, -1.00)
(0.08, 0.02, -1.00)
(0.08, 0.02, -1.00)
(0.08, 0.02, -1.00)
(0.09, 0.02, -1.00)
(0.09, 0.02, -1.00)
(0.09, 0.02, -1.00)
(0.09, 0.02, -1.00)
(0.09, 0.03, -1.00)
(0.08, 0.00, -1.00)
(0.07, 0.00, -1.00)
(0.07, 0.00, -1.00)
