(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.17, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.18, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.05, 0.21, 0.98)
(0.05, 0.21, 0.98)
(0.05, 0.21, 0.98)
(0.05, 0.21, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.21, 0.98)
(0.05, 0.21, 0.98)
(0.05, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.05, 0.22, 0.98)
(0.05, 0.21, 0.98)
(0.05, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.19, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.05, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.04, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.19, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.03, 0.20, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.23, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.97)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.22, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.03, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.20, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.21, 0.98)
(0.04, 0.22, 0.98)
(0.04, 0.22, 0.97)
(0.04, 0.22, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.23, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.03, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.24, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.04, 0.26, 0.96)
(0.05, 0.26, 0.96)
(0.05, 0.26, 0.96)
(0.05, 0.26, 0.96)
(0.05, 0.26, 0.96)
(0.05, 0.26, 0.96)
(0.05, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.26, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.25, 0.97)
(0.04, 0.24, 0.97)
(0.05, 0.24, 0.97)
(0.05, 0.23, 0.97)
(0.05, 0.23, 0.97)
(0.05, 0.23, 0.97)
(0.05, 0.23, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.23, 0.97)
(0.05, 0.23, 0.97)
(0.05, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.98)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.05, 0.22, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.07, 0.22, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.05, 0.25, 0.97)
(0.05, 0.25, 0.97)
(0.05, 0.25, 0.97)
(0.05, 0.25, 0.97)
(0.05, 0.25, 0.97)
(0.05, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.22, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.23, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.24, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.06, 0.25, 0.97)
(0.05, 0.25, 0.97)
(0.05, 0.25, 0.97)
